index,latitude,longitude,city
0,25.0228,121.5332,Taipei
1,25.026,121.5524,Taipei
2,25.0393,121.5761,Taipei
3,25.067,121.6084,Taipei
4,25.0608,121.5318,Taipei
5,25.0461,121.5308,Taipei
6,25.0643,121.5277,Taipei
7,24.9691,121.5986,Taipei
8,25.0401,121.5639,Taipei
9,25.0469,121.5678,Taipei
10,24.9971,121.551,Taipei
11,25.0734,121.5298,Taipei
12,25.0514,121.5606,Taipei
13,25.1423,121.5582,Taipei
14,25.0443,121.5577,Taipei
15,24.9761,121.5672,Taipei
16,25.1199,121.5327,Taipei
17,25.001,121.5428,Taipei
18,25.1014,121.5086,Taipei
19,25.0217,121.4975,Taipei
20,25.1111,121.5617,Taipei
21,25.0583,121.5202,Taipei
22,25.1026,121.5184,Taipei
23,25.0689,121.5907,Taipei
24,25.0974,121.545,Taipei
25,25.0182,121.4934,Taipei
26,25.0623,121.5447,Taipei
27,25.0479,121.616,Taipei
28,25.0337,121.6127,Taipei
29,24.9885,121.57,Taipei
30,25.0513,121.5704,Taipei
31,25.1213,121.5553,Taipei
32,24.9906,121.5522,Taipei
33,25.1373,121.4917,Taipei
34,25.0684,121.5273,Taipei
35,25.0977,121.5755,Taipei
36,25.0594,121.5745,Taipei
37,25.0655,121.5191,Taipei
38,25.1164,121.5369,Taipei
39,25.0537,121.5305,Taipei
40,25.0402,121.5344,Taipei
41,25.0587,121.5805,Taipei
42,25.0805,121.5906,Taipei
43,25.134,121.5685,Taipei
44,25.1584,121.5385,Taipei
45,25.1253,121.5864,Taipei
46,25.0939,121.4964,Taipei
47,25.0153,121.542,Taipei
48,25.001,121.5976,Taipei
49,25.1255,121.5925,Taipei
50,25.0558,121.6039,Taipei
51,25.0566,121.5172,Taipei
52,25.0291,121.5376,Taipei
53,25.0591,121.6136,Taipei
54,25.0323,121.5185,Taipei
55,25.0691,121.584,Taipei
56,24.9888,121.5584,Taipei
57,25.0231,121.5394,Taipei
58,25.0468,121.568,Taipei
59,25.0379,121.554,Taipei
60,24.9935,121.5423,Taipei
61,25.0453,121.5529,Taipei
62,25.03,121.5483,Taipei
63,25.0595,121.5352,Taipei
64,25.1072,121.5203,Taipei
65,25.0529,121.5856,Taipei
66,25.1196,121.5257,Taipei
67,25.1375,121.5596,Taipei
68,25.0392,121.5173,Taipei
69,24.9972,121.5618,Taipei
70,25.0278,121.5218,Taipei
71,25.1125,121.5162,Taipei
72,25.0285,121.5288,Taipei
73,25.0513,121.5802,Taipei
74,25.0687,121.6142,Taipei
75,25.0581,121.5634,Taipei
76,25.0478,121.5241,Taipei
77,25.0803,121.5187,Taipei
78,25.029,121.646,Taipei
79,25.0228,121.5089,Taipei
80,25.0691,121.5748,Taipei
81,25.035,121.4915,Taipei
82,25.0642,121.5659,Taipei
83,25.0316,121.6147,Taipei
84,25.0384,121.5074,Taipei
85,24.9981,121.5447,Taipei
86,25.1137,121.5242,Taipei
87,25.0702,121.5336,Taipei
88,25.0265,121.532,Taipei
89,25.0719,121.5321,Taipei
90,24.985,121.5465,Taipei
91,24.9997,121.571,Taipei
92,25.0622,121.5896,Taipei
93,25.1815,121.5654,Taipei
94,25.0294,121.572,Taipei
95,25.0352,121.5675,Taipei
96,25.0684,121.6158,Taipei
97,25.1692,121.5625,Taipei
98,25.0746,121.5148,Taipei
99,25.0906,121.5156,Taipei
100,25.0057,121.54,Taipei
101,25.0514,121.5802,Taipei
102,25.136,121.5528,Taipei
103,25.0712,121.5687,Taipei
104,25.0559,121.5736,Taipei
105,25.0615,121.5332,Taipei
106,25.0324,121.5455,Taipei
107,25.102,121.5193,Taipei
108,25.177,121.5578,Taipei
109,25.1745,121.5583,Taipei
110,25.0171,121.5759,Taipei
111,25.0919,121.5277,Taipei
112,25.0672,121.5854,Taipei
113,25.0797,121.5211,Taipei
114,25.064,121.5685,Taipei
115,25.1093,121.5571,Taipei
116,25.0633,121.5509,Taipei
