index,image,latitude,longitude,country
27227,streetview27227_180.jpg,28.6014,77.1056,India
11947,streetview11947_180.jpg,48.8924,2.3336,France
25124,streetview25124_90.jpg,-1.2,36.9123,Kenya
49062,streetview49062_0.jpg,-33.8731,150.9925,Australia
31863,streetview31863_180.jpg,40.687,-73.7384,United States
26041,streetview26041_0.jpg,28.4887,77.1371,India
40596,streetview40596_0.jpg,48.8742,2.2798,France
7238,streetview7238_0.jpg,43.7398,-79.5808,Canada
38302,streetview38302_90.jpg,48.857,2.3034,France
11265,streetview11265_90.jpg,28.6003,77.1831,India
44071,streetview44071_90.jpg,-37.0212,174.8831,New Zealand
15603,streetview15603_0.jpg,43.6769,-79.4725,Canada
43396,streetview43396_180.jpg,60.2406,24.9636,Finland
19185,streetview19185_180.jpg,-25.5092,28.1061,South Africa
13997,streetview13997_270.jpg,40.5931,-73.7732,United States
5642,streetview5642_270.jpg,-36.8694,174.8019,New Zealand
2743,streetview2743_90.jpg,48.8803,2.3576,France
7247,streetview7247_0.jpg,43.6537,-79.5677,Canada
26674,streetview26674_270.jpg,28.6242,77.2395,India
16247,streetview16247_0.jpg,-1.2265,36.7679,Kenya
12407,streetview12407_90.jpg,48.8195,2.3626,France
32834,streetview32834_180.jpg,43.7664,-79.3615,Canada
31242,streetview31242_90.jpg,40.6837,-73.8722,United States
16954,streetview16954_180.jpg,-33.9087,151.2134,Australia
25593,streetview25593_90.jpg,-1.291,36.8195,Kenya
1565,streetview1565_0.jpg,40.6451,-73.7804,United States
27214,streetview27214_0.jpg,28.5976,77.19,India
12512,streetview12512_180.jpg,48.8375,2.3705,France
26554,streetview26554_90.jpg,28.5152,77.1095,India
41581,streetview41581_180.jpg,60.1861,24.9996,Finland
12859,streetview12859_90.jpg,60.2249,24.9338,Finland
25952,streetview25952_90.jpg,-1.2875,36.6977,Kenya
3772,streetview3772_90.jpg,60.1643,25.0571,Finland
5853,streetview5853_180.jpg,-36.3971,174.7116,New Zealand
11808,streetview11808_0.jpg,48.8712,2.3664,France
34757,streetview34757_0.jpg,43.7966,-79.3692,Canada
44183,streetview44183_180.jpg,-36.332,174.2891,New Zealand
35424,streetview35424_180.jpg,13.6875,100.4279,Thailand
46056,streetview46056_270.jpg,-36.8989,174.9137,New Zealand
12890,streetview12890_0.jpg,60.2062,24.9482,Finland
46162,streetview46162_0.jpg,-36.6696,174.4068,New Zealand
7725,streetview7725_90.jpg,-1.3089,36.6843,Kenya
10665,streetview10665_90.jpg,28.6321,77.2139,India
31930,streetview31930_90.jpg,40.7066,-73.8994,United States
15054,streetview15054_270.jpg,43.6928,-79.5388,Canada
18606,streetview18606_0.jpg,-36.8702,174.7529,New Zealand
49696,streetview49696_90.jpg,-34.025,151.0487,Australia
48556,streetview48556_90.jpg,-33.8688,151.2242,Australia
15871,streetview15871_270.jpg,-1.2596,36.9122,Kenya
21238,streetview21238_0.jpg,-25.8107,28.1214,South Africa
32462,streetview32462_0.jpg,43.7756,-79.4342,Canada
24145,streetview24145_0.jpg,-1.3128,36.7774,Kenya
48010,streetview48010_90.jpg,-34.0636,150.8335,Australia
17817,streetview17817_90.jpg,-33.8095,150.8519,Australia
44040,streetview44040_180.jpg,60.2156,25.0499,Finland
10441,streetview10441_180.jpg,28.5874,77.1941,India
39122,streetview39122_180.jpg,48.8999,2.3347,France
5129,streetview5129_0.jpg,-36.863,174.6134,New Zealand
34336,streetview34336_270.jpg,43.6786,-79.4402,Canada
48250,streetview48250_90.jpg,-33.8434,151.093,Australia
32699,streetview32699_90.jpg,43.6976,-79.526,Canada
38260,streetview38260_0.jpg,48.8887,2.294,France
27680,streetview27680_0.jpg,28.5931,77.1765,India
3242,streetview3242_180.jpg,60.2506,25.0105,Finland
14194,streetview14194_180.jpg,40.7514,-73.8288,United States
30006,streetview30006_180.jpg,40.873,-73.8749,United States
50140,streetview50140_270.jpg,60.2834,25.0404,Finland
44127,streetview44127_270.jpg,-36.9152,174.8391,New Zealand
5144,streetview5144_270.jpg,-36.3656,174.3366,New Zealand
49566,streetview49566_90.jpg,-34.003,151.138,Australia
29145,streetview29145_90.jpg,40.7053,-73.8943,United States
979,streetview979_180.jpg,13.6379,100.3955,Thailand
29653,streetview29653_270.jpg,40.7515,-73.9151,United States
48442,streetview48442_270.jpg,-33.9362,150.8969,Australia
